key,mk,sq,es,en
lang_name,Македонски,Shqip,Castellano,English
back_button,← Назад,← Prapa,← Volver,← Back
home_button,🏠 Почетна,🏠 Faqja kryesore,🏠 Inicio,🏠 Home
search_placeholder,"Пребарај фудбалерка, тим, судија, стадион...","Kërko lojtare, ekip, gjyqtar, stadium...","Buscar jugadora, equipo, árbitro, estadio...","Search for player, team, referee, stadium..."
search_button,Пребарај,Kërko,Buscar,Search
search_results_for,"Резултати од пребарувањето за","Rezultatet e kërkimit për","Resultados de la búsqueda para","Search results for"
no_search_results,"Нема пронајдени резултати за","Nuk u gjetën rezultate për","No se encontraron resultados para","No results found for"
search_prompt,"Ве молиме внесете најмалку 2 карактери за да пребарувате.","Ju lutemi, shkruani të paktën 2 karaktere për të kërkuar.","Por favor, introduce al menos 2 caracteres para buscar.","Please enter at least 2 characters to search."
portal_title,Портал на натпреварувања,Portali i garave,Portal de competiciones,Competitions portal
schedule_title,Распоред,Orari,Calendario,Fixtures
standings_title,Табела,Tabela,Clasificación,Table
scorers_title,Стрелци,Golashënuesit,Goleadoras,Top scorers
disciplinary_title,Дисциплинска,Evidenca disiplinore,Disciplina,Disciplinary
goalkeepers_title,Статистика на голманки,Statistikat e portiereve,Estadísticas de porteras,Goalkeeper stats
defensive_trio_title,Најдобро дефанзивно трио,Treshja më e mirë mbrojtëse,Mejor trío defensivo,Best defensive trio
final_score,Конечен резултат,Rezultati përfundimtar,Resultado final,Final score
officials_notes,Забелешка на судијата,Shënimi i gjyqtarit,Notas de la árbitra,Referee's notes
lineups_title,Состави,Formacionet,Alineaciones,Line-ups
timeline_title,Хронологија,Kronologjia,Cronología,Timeline
referees_title,Судии,Gjyqtarët,Árbitras,Referees
player_type,Фудбалерка,Lojtare,Jugadora,Player
team_type,Тим,Ekip,Equipo,Team
referee_type,Судија,Gjyqtar,Árbitao,Referee
stadium_type,Стадион,Stadium,Estadio,Stadium
competition_type,Натпреварување,Garë,Competición,Competition
site_title,Фудбалски портал МК,Portali i futbollit MK,Portal de fútbol MK,MK Football Portal
